YEAR,GEOGRAPHY_CODE,GVA,JOBS,HOUSEHOLDS
2020,E07000008,226.17883772913956,3.342956961233199,4930
2021,E07000008,288.6321487150353,4.157660929535922,4930
2022,E07000008,353.04812632449284,4.960704539883551,4930
2023,E07000008,419.3212873570528,5.751422426539378,4930
2024,E07000008,487.8622004976878,6.536155312952076,4930
2025,E07000008,562.5167603910131,7.387250129732763,4930
2026,E07000008,642.6897390450686,8.28406013499675,4930
2027,E07000008,728.1886998991722,9.24594503711991,4930
2028,E07000008,818.7052741338657,10.247271119957233,4930
2029,E07000008,913.2387279599243,11.268411370575492,4930
2030,E07000008,1010.9277916570563,12.29274560955001,4930
2031,E07000008,1119.7364575521233,13.445660623878297,4930
2032,E07000008,1230.610730685,14.569550302564792,4930
2033,E07000008,1347.1490888789303,15.725815774929373,4930
2034,E07000008,1469.3017131645393,16.909865551697706,4930
2035,E07000008,1597.274132294041,18.119115668928075,4930
2036,E07000008,1731.0836196510481,19.350989834834195,4930
2037,E07000008,1870.9483612603817,20.60491957956191,4930
2038,E07000008,2017.3441153740578,21.885344407981563,4930
2039,E07000008,2170.2590958821993,23.18771195555661,4930
2040,E07000008,2329.921569683632,24.51247814735123,4930
2041,E07000008,2496.917571395952,25.865107360242504,4930
2042,E07000008,2670.9944000436535,27.239072588401086,4930
2043,E07000008,2852.6554001683153,28.636855612108093,4930
2044,E07000008,3042.3281238554146,30.06194716997645,4930
2045,E07000008,3240.781804215295,31.520847134645905,4930
2046,E07000008,3447.8219464105605,33.00606469202336,4930
2047,E07000008,3663.8404558666034,34.51911852414058,4930
2048,E07000008,3889.251126056992,36.061536995703605,4930
2049,E07000008,4124.324127192616,37.63185834440917,4930
2050,E07000008,4369.2364503420395,39.22863087510616,4930
2020,E07000012,303.3188244485882,4.451561314792002,0
2021,E07000012,416.5068500306088,5.928944184243505,0
2022,E07000012,535.7567837714978,7.426199420627,0
2023,E07000012,662.6688174947549,8.968889268606645,0
2024,E07000012,797.0190502269297,10.546628775056561,0
2025,E07000012,941.5844047660057,12.20408762545479,0
2026,E07000012,1093.7362500637,13.879992044786064,0
2027,E07000012,1259.806075412468,15.69512676522811,0
2028,E07000012,1437.4745345064512,17.590337062975095,0
2029,E07000012,1625.8452719784564,19.54253086663489,0
2030,E07000012,1824.0146761285787,21.53068093972435,0
2031,E07000012,2037.3059865537953,23.613827139873862,0
2032,E07000012,2261.125541795089,25.725078757446155,0
2033,E07000012,2498.878446562634,27.909616936368593,0
2034,E07000012,2751.366377952456,30.169697180078487,0
2035,E07000012,3019.242306202592,32.502651945581135,0
2036,E07000012,3303.3453565247664,34.910893328728775,0
2037,E07000012,3604.3610235968963,37.3939158439357,0
2038,E07000012,3923.468282019365,39.95729930166051,0
2039,E07000012,4261.2201050884105,42.59871178710242,0
2040,E07000012,4618.414539718216,45.31791274368088,0
2041,E07000012,4996.374481503531,48.12175616499435,0
2042,E07000012,5395.57999937002,51.00519389908281,0
2043,E07000012,5817.482753593744,53.97527906895547,0
2044,E07000012,6263.416222324622,57.03616961348348,0
2045,E07000012,6735.260891410907,60.198131952903566,0
2046,E07000012,7233.806633785031,63.45654478332638,0
2047,E07000012,7760.6255194688965,66.8169030048011,0
