YEAR,GEOGRAPHY_CODE,GVA,JOBS,HOUSEHOLDS
2045,E07000012,7325.501418456596,62.285760510276816,4396.97483839266
2046,E07000012,7878.23780805216,65.69902295806092,4396.97483839266
2047,E07000012,8463.446894856159,69.22264447047667,4396.97483839266
2048,E07000012,9083.089652234163,72.86064426811282,4396.97483839266
2049,E07000012,9739.02538659266,76.6171842020372,4396.97483839266
2050,E07000012,10433.197929169799,80.49457389337864,4396.97483839266
2020,E07000009,74.26292079632867,1.4441184567747953,-89.7071800829893
2021,E07000009,102.4626151434561,1.9257342957782484,-80.91289556671529
2022,E07000009,131.16544902219266,2.395608597519626,-88.2485288490963
2023,E07000009,160.89436521312905,2.8659943402462957,-82.9852397466702
2024,E07000009,191.72569096063967,3.337150296712146,-82.09997152216341
2025,E07000009,225.20491116247263,3.8413411775479744,-78.1436545970777
2026,E07000009,259.2729171216738,4.331837778357041,-72.72558567372809
2027,E07000009,296.39657657764064,4.862917130635573,-78.0651018999757
2028,E07000009,335.9728400694298,5.417862656620365,-76.5676911115963
2029,E07000009,377.0408447315017,5.977964328168461,-74.45116103953029
2030,E07000009,418.78082649408543,6.527518829776923,-70.98269770692241
2031,E07000009,464.8746875910824,7.127829725853388,-69.1609986459913
2032,E07000009,512.2031990936584,7.725207632351307,-69.8945878139338
2033,E07000009,562.2236477852257,8.343970392886618,-70.0297294605799
2034,E07000009,614.9455006551007,8.982443259456183,-64.76592356409991
2035,E07000009,670.3899260724602,9.63695907788118,-63.215799781608105
2036,E07000009,728.5721599443655,10.305858478101968,-64.0537813496404
2037,E07000009,789.4519272805301,10.98749006945512,-60.411416815900004
2038,E07000009,853.3079356036587,11.684210641065619,-61.484798078183005
2039,E07000009,919.8952764533051,12.391385367492035,-59.315296614979495
2040,E07000009,989.4177388815497,13.11038801976543,-57.7853278008311
2041,E07000009,1061.915042469046,13.840601181967202,-60.5269202882739
2042,E07000009,1137.390952228729,14.581416473494144,-60.5269202882739
2043,E07000009,1215.9503936233418,15.33223477716436,-60.5269202882739
2044,E07000009,1297.8363484533438,16.095466473320236,-60.5269202882739
2045,E07000009,1383.410541095344,16.87453168009047,-60.5269202882739
2046,E07000009,1472.5757964942582,17.665860499976496,-60.5269202882739
2047,E07000009,1565.4013322189753,18.46989327293349,-60.5269202882739
2048,E07000009,1662.255582281703,19.289080836121045,-60.5269202882739
2049,E07000009,1763.2253988217335,20.122884790502987,-60.5269202882739
2050,E07000009,1868.3732656673078,20.970777774480702,-60.5269202882739
2020,E07000011,147.31014251062516,2.4020763921863875,4456.94420248963
2021,E07000011,195.84667891807658,3.107011011202374,4419.320109150471
2022,E07000011,244.63110347630573,3.7794474908381233,4519.56555990391
2023,E07000011,294.99607450530675,4.447677193258414,4509.69324297882
2024,E07000011,347.482309441275,5.119996903442157,4507.003006901071
2025,E07000011,405.19140041736955,5.855708938827902,4488.51967355318
2026,E07000011,463.8869623409437,6.563121261295123,4482.20412714567
2027,E07000011,527.8465615702789,7.334547591532399,4493.14588477834
2028,E07000011,596.6202268941934,8.154307525844914,4488.74376837738
2029,E07000011,668.3129338126973,8.983726655454902,4472.78297143481
2030,E07000011,741.8732735314588,9.804136688349686,4459.60498130596
2031,E07000011,824.5061320324994,10.73287557373311,4462.9763519545795
2032,E07000011,908.800285047254,11.64128762913819,4458.03851391134
2033,E07000011,997.8726352732692,12.581723670258683,4450.7259425638895
2034,E07000011,1092.039864542483,13.555541143559822,4435.98032225377
2035,E07000011,1190.9358312561462,14.552104261729568,4426.60031626993
2036,E07000011,1294.6998161802358,15.570784142032196,4432.98000974012
2037,E07000011,1403.327988089256,16.607958947628717,4414.18143201573
2038,E07000011,1516.9367776610434,17.663014031929308,4412.753853024679
2039,E07000011,1635.341275755577,18.731342086044094,4399.722632408821
2040,E07000011,1758.680727766401,19.811343289401236,4386.0430936449
2041,E07000011,1887.1292778258585,20.904425463601825,4396.97483839266
2042,E07000011,2020.5279888681916,22.006004229582558,4396.97483839266
2043,E07000011,2159.1945781217473,23.118503168159776,4396.97483839266
2044,E07000011,2303.339759405443,24.24235398402898,4396.97483839266
2045,E07000011,2453.4304853566236,25.38099667329621,4396.97483839266
2046,E07000011,2609.565502143714,26.53287969461931,4396.97483839266
2047,E07000011,2771.8474385460104,27.697460144038843,4396.97483839266
2048,E07000011,2940.654793101802,28.876203933579504,4396.97483839266
2049,E07000011,3116.323648247724,30.070585973706358,4396.97483839266
2050,E07000011,3299.1141460036406,31.281090359719997,4396.97483839266
2020,E07000099,51.827211512872964,0.8962718883087035,-127.027204717185
2021,E07000099,68.10106046817509,1.0828314848991667,-122.34737610831999
2022,E07000099,84.51400092783979,1.2593157716359826,-143.697689102424
2023,E07000099,101.17979880399844,1.4287597355623163,-135.558699454032
2024,E07000099,119.54792358726309,1.6201986997216196,-139.72328438523502
2025,E07000099,141.47379903715046,1.8626683265859114,-133.267234592706
2026,E07000099,160.75230083233828,2.0462046215203102,-130.98481362743
