YEAR,GEOGRAPHY_CODE,GVA,JOBS,HOUSEHOLDS
2020,E07000008,166.6540720108369,3.2017834063740622,0
2021,E07000008,208.28544600562782,3.9417741855957757,0
2022,E07000008,250.47080969413037,4.6672463077348425,0
2023,E07000008,293.0215606579204,5.377451266366023,0
2024,E07000008,336.2734645376968,6.078644484947915,0
2025,E07000008,384.0450745027474,6.843085382086713,0
2026,E07000008,435.646305509601,7.6500374379272245,0
2027,E07000008,490.71018495135104,8.518768261692216,0
2028,E07000008,548.8774839639227,9.423549660389014,0
2029,E07000008,609.0333524298458,10.344657708705498,0
2030,E07000008,670.1973058734238,11.265372820115289,0
2031,E07000008,740.3479370914984,12.310979819213998,0
2032,E07000008,810.2131778673156,13.323768015309028,0
2033,E07000008,883.310377196557,14.365031277283691,0
2034,E07000008,959.4660791679344,15.430068109759802,0
2035,E07000008,1038.7682237580848,16.516181730580527,0
2036,E07000008,1121.0972502661552,17.620680149637764,0
2037,E07000008,1206.5366662559163,18.742876249067024,0
2038,E07000008,1295.4195739092002,19.88708786483548,0
2039,E07000008,1387.583135919881,21.048637869745875,0
2040,E07000008,1483.0975237528955,22.227854257883564,0
2041,E07000008,1582.3858125748575,23.430070230530575,0
2042,E07000008,1685.0181866154617,24.648624283574122,0
2043,E07000008,1791.3259912294952,25.885860296434714,0
2044,E07000008,1901.544585091483,27.14512762254229,0
2045,E07000008,2016.2525757027388,28.432781181386716,0
2046,E07000008,2135.0490823650416,29.741181552171213,0
2047,E07000008,2258.1115519166988,31.071695069097203,0
2048,E07000008,2385.6295319642522,32.42569391830945,0
2049,E07000008,2517.642829273933,33.80155623653074,0
2050,E07000008,2654.0768387701064,35.197666211416916,0
2020,E07000012,267.1125382867576,4.195512522857953,0
2021,E07000012,358.93061961794683,5.5320772499435265,0
2022,E07000012,454.6619787141608,6.879416272050051,0
2023,E07000012,555.8899953285227,8.262641407859064,0
2024,E07000012,662.1083768402596,9.670897329486266,0
2025,E07000012,776.1500388036229,11.148362567864922,0
2026,E07000012,894.6242631506066,12.633250549331251,0
2027,E07000012,1024.4278767551286,14.245810664385644,0
2028,E07000012,1162.6014686296176,15.926329369633407,0
2029,E07000012,1307.8194653094206,17.651131323940902,0
2030,E07000012,1458.6450396804285,19.398580559874645,0
2031,E07000012,1620.9819462074984,21.227081691524802,0
2032,E07000012,1789.1910441668788,23.069081159848835,0
2033,E07000012,1966.715764163726,24.96906851670606,0
2034,E07000012,2154.0809934337576,26.92857774879178,0
2035,E07000012,2351.611987937238,28.944188642715645,0
2036,E07000012,2559.7780049216917,31.0175281925098,0
2037,E07000012,2778.8828259420197,33.147272050890564,0
2038,E07000012,3009.7956718421556,35.338146025640626,0
2039,E07000012,3252.461979222875,37.58692762252025,0
2040,E07000012,3507.2289326382806,39.89244763616078,0
2041,E07000012,3774.8954805680523,42.2605917904382,0
2042,E07000012,4055.2991974671604,44.685302429873346,0
2043,E07000012,4349.3825678115245,47.172580263650445,0
2044,E07000012,4657.885782211331,49.72548616389969,0
2045,E07000012,4982.15495644008,52.35314301993688,0
2046,E07000012,5322.26795759835,55.04973765020925,0
2047,E07000012,5679.010652408175,57.819522773749156,0
2048,E07000012,6053.454056959408,60.664819042995674,0
2049,E07000012,6446.20902067297,63.58801713989989,0
2050,E07000012,6858.069540528824,66.58957993729213,0
2020,E07000009,73.61678078646196,1.459605746130002,0
2021,E07000009,100.77594902555029,1.9496173694814303,0
2022,E07000009,128.40526199537885,2.4283466271186995,0
2023,E07000009,157.02714719524488,2.908065662906118,0
2024,E07000009,186.72937519749826,3.3890531295189703,0
2025,E07000009,219.08210769255697,3.9035943568192906,0
2026,E07000009,251.94658358999777,4.404981524798096,0
2027,E07000009,287.8824674750008,4.9475138412112685,0
2028,E07000009,326.24235207532365,5.514497724039593,0
2029,E07000009,366.0347397411547,6.087246988907452,0
2030,E07000009,406.4120280833331,6.650083041598215,0
2031,E07000009,451.1064743415336,7.2643350758083685,0
2032,E07000009,496.9697024967345,7.87634027628652,0
2033,E07000009,545.4971492395189,8.510444027507326,0
2034,E07000009,596.7010366186619,9.16500012803482,0
2035,E07000009,650.6293010412292,9.836371010733963,0
2036,E07000009,707.302030167767,10.522927968993471,0
2037,E07000009,766.6705334827893,11.223051389128024,0
2038,E07000009,829.0499094545085,11.939130989132352,0
2039,E07000009,894.1733421252325,12.666566063964517,0
2040,E07000009,962.274738854826,13.406765737541356,0
2041,E07000009,1033.411407450153,14.159149221633122,0
2042,E07000009,1107.5605470208388,14.92314608185071,0
2043,E07000009,1184.893166708283,15.6981965109239,0
2044,E07000009,1265.6453970970188,16.48675160947424,0
2045,E07000009,1350.215288208918,17.292273674492897,0
2046,E07000009,1438.5611975656025,18.11123649573875,0
2047,E07000009,1530.7151698328694,18.944125660278814,0
2048,E07000009,1627.1200359266531,19.793438865399168,0
2049,E07000009,1727.8985777047583,20.658686240120495,0
2050,E07000009,1833.1250358120274,21.539390675560078,0
2020,E07000011,123.655436736517,2.322719533014123,0
2021,E07000011,162.8544446475189,2.9854288286985593,0
2022,E07000011,201.58100668778297,3.6138693149714527,0
2023,E07000011,241.13551279607782,4.236275848459485,0
2024,E07000011,282.0410000909087,4.8608870984590595,0
2025,E07000011,327.43107931316445,5.546945613460224,0
2026,E07000011,372.9079641724593,6.202697888895713,0
2027,E07000011,422.78932625765265,6.920394436138011,0
2028,E07000011,476.51379988994904,7.68428985276924,0
2029,E07000011,532.107739741572,8.455642894147047,0
2030,E07000011,588.3979868344777,9.215716546292512,0
2031,E07000011,652.6949357503936,10.081778100123955,0
2032,E07000011,717.3890227761267,10.925099227063683,0
2033,E07000011,785.5967045790903,11.79795605604319,0
2034,E07000011,857.5770443919218,12.701629251933866,0
2035,E07000011,932.8897823856068,13.625404095430412,0
2036,E07000011,1011.5777891962152,14.568570564414927,0
2037,E07000011,1093.5718897211473,15.527423416829919,0
2038,E07000011,1178.9021733534728,16.50126227508936,0
2039,E07000011,1267.2601461866407,17.48539171205688,0
2040,E07000011,1358.7360091881073,18.47812133862199,0
2041,E07000011,1453.378102219861,19.48076589290396,0
2042,E07000011,1550.9231831219186,20.48864533111569,0
2043,E07000011,1651.5765933776984,21.50408492011853,0
2044,E07000011,1755.4384078681478,22.527415331701235,0
2045,E07000011,1862.8768320517129,23.56197273861592,0
2046,E07000011,1973.8833550313502,24.60609891240479,0
2047,E07000011,2088.3975876676395,25.659141323052225,0
2048,E07000011,2206.6949201000725,26.722453240497416,0
2049,E07000011,2328.972344749822,27.79739383804315,0
2050,E07000011,2455.339147573678,28.88432829769752,0
2020,E07000099,52.4038586511756,0.9250714744051507,0
2021,E07000099,67.40290632218694,1.1265474555231094,0
2022,E07000099,82.43159991373341,1.3183007626535073,0
2023,E07000099,97.5814768213072,1.5033726873366433,0
2024,E07000099,114.29809088309548,1.7108049575558724,0
2025,E07000099,134.59108557629952,1.9696397426679724,0
2026,E07000099,151.83446834316783,2.1699196583918834,0
2027,E07000099,174.89147151281622,2.455687771855999,0
2028,E07000099,199.36530894184898,2.7519876067052493,0
2029,E07000099,225.19102626025233,3.059863148268178,0
2030,E07000099,251.51166997590235,3.366358848785403,0
2031,E07000099,279.7122181865998,3.6935196326993065,0
2032,E07000099,309.19356820594567,4.0333909020066585,0
2033,E07000099,341.02553210541646,4.398018541674148,0
2034,E07000099,375.26561834302447,4.788448925118331,0
2035,E07000099,410.7847524774934,5.1837289197496546,0
2036,E07000099,447.58689086754566,5.582905892582801,0
2037,E07000099,485.6195370082469,5.9860277159128685,0
2038,E07000099,524.8701944704735,6.391142773059002,0
2039,E07000099,565.2005561053857,6.7972999641758065,0
2040,E07000099,606.4656885156746,7.201548712133558,0
2041,E07000099,648.8989359685747,7.606938968468299,0
2042,E07000099,692.2913577175577,8.010521219401951,0
2043,E07000099,736.6115037855743,8.413346491934306,0
2044,E07000099,782.0479757581716,8.815466360006695,0
2045,E07000099,828.5911213034487,9.217932950738984,0
2046,E07000099,876.1398368507807,9.618798950740569,0
2047,E07000099,924.751504441092,10.019117612496089,0
2048,E07000099,974.5297710785153,10.418942760826852,0
2049,E07000099,1025.2923207950316,10.817328799429077,0
2050,E07000099,1077.051202495837,11.214330717489773,0
2020,E07000242,137.0395545329984,2.039773206588009,0
2021,E07000242,170.9707768499229,2.481514231487651,0
2022,E07000242,204.76903425276214,2.911319966807767,0
2023,E07000242,239.01783057614375,3.337297175858339,0
2024,E07000242,274.3329449106841,3.7695542011916956,0
2025,E07000242,311.4638053004601,4.2202009893698715,0
2026,E07000242,346.79875282065404,4.6243491161314125,0
2027,E07000242,388.02196775196626,5.10711181196379,0
2028,E07000242,432.1538018336387,5.611603988087893,0
2029,E07000242,478.7205552757787,6.1339422628615665,0
2030,E07000242,527.0247542301995,6.662244988609146,0
2031,E07000242,579.1859248120209,7.224632278883348,0
2032,E07000242,632.5541936517393,7.786226036167321,0
2033,E07000242,688.9168439699788,8.372149980023636,0
2034,E07000242,748.1978759439107,8.979529675697108,0
2035,E07000242,809.8854953221062,9.597492563180182,0
2036,E07000242,873.877648662804,10.225167986746598,0
2037,E07000242,940.1906604421683,10.86168722496258,0
2038,E07000242,1008.9798948852376,11.506183521182379,0
2039,E07000242,1079.8286312207474,12.154792114536562,0
2040,E07000242,1152.773411706643,12.806650271420807,0
2041,E07000242,1228.1101701116095,13.463897317493334,0
2042,E07000242,1305.4119250668737,14.123674670189956,0
2043,E07000242,1385.0243188458926,14.787125871764005,0
2044,E07000242,1466.8657264474323,15.454396622860855,0
2045,E07000242,1551.1017554830423,16.12663481663489,0
2046,E07000242,1637.7035350646365,16.800990573418687,0
2047,E07000242,1726.6524052193554,17.479616275952353,0
2048,E07000242,1818.1401743718252,18.16266660518312,0
2049,E07000242,1912.0838623471664,18.848298576643842,0
2050,E07000242,2008.55189501129,19.536671577420435,0
2020,E07000243,67.08190102225262,1.0932186847244907,0
2021,E07000243,80.88275390136914,1.29166602108711,0
2022,E07000243,94.3254162220478,1.4803100132272178,0
2023,E07000243,107.85238397859803,1.6651915351149,0
2024,E07000243,123.06914945062272,1.8773518787596757,0
2025,E07000243,141.04863407008907,2.12883275868969,0
2026,E07000243,157.00681944547796,2.330676316481153,0
2027,E07000243,176.86992730085922,2.5949251253382144,0
2028,E07000243,197.40345572205888,2.8586221947238997,0
2029,E07000243,218.97922444849974,3.1318109750430736,0
2030,E07000243,240.61954670115483,3.3985353623773236,0
2031,E07000243,263.73204688807255,3.676839703273096,0
2032,E07000243,288.3314953975628,3.9727687995832,0
2033,E07000243,314.83363369708877,4.290367913362637,0
2034,E07000243,343.4443417192865,4.630682771818982,0
2035,E07000243,372.8029295158094,4.970759572318336,0
2036,E07000243,403.03352357395806,5.312644987447392,0
2037,E07000243,434.09858528314135,5.6553861701320685,0
2038,E07000243,465.9773987031076,5.998030758813535,0
2039,E07000243,498.65744830154927,6.340626882682379,0
2040,E07000243,532.0250828074991,6.682223166971333,0
2041,E07000243,566.204688833338,7.022868738307409,0
2042,E07000243,600.9754215037656,7.361613230124185,0
2043,E07000243,636.7136469915463,7.701506788134715,0
2044,E07000243,673.1463951694723,8.040600075866038,0
2045,E07000243,710.577530341684,8.379944280255742,0
2046,E07000243,748.758515215206,8.718591117311519,0
2047,E07000243,787.6920576464017,9.055592837834254,0
2048,E07000243,827.6496345655669,9.394002233205569,0
2049,E07000243,868.2709595888127,9.729872641240448,0
2050,E07000243,909.7686220778314,10.065257952105647,0
2020,E07000178,243.30820453241176,4.287851065619691,0
2021,E07000178,306.2666998334407,5.294896688976735,0
2022,E07000178,368.5377709382028,6.261026989003739,0
2023,E07000178,427.47459479338886,7.1374870414005045,0
2024,E07000178,485.79914285614905,7.974525587699844,0
2025,E07000178,544.8875005876425,8.801395094314103,0
2026,E07000178,611.1682097988023,9.720351812579878,0
2027,E07000178,683.8996335816137,10.724655839817245,0
2028,E07000178,761.1645959626412,11.768571181422146,0
2029,E07000178,841.9946878747451,12.834365814009487,0
2030,E07000178,922.982290175767,13.868311749624553,0
2031,E07000178,1020.0381903913112,15.110685101043003,0
2032,E07000178,1115.8989164354261,16.296766148176317,0
2033,E07000178,1215.7626676526797,17.5068394056039,0
2034,E07000178,1319.4349650432177,18.73519369124969,0
2035,E07000178,1427.2028665478792,19.986122196224613,0
2036,E07000178,1538.3583834530727,21.245922555854577,0
2037,E07000178,1653.4088777106117,22.52189692191442,0
2038,E07000178,1773.0908985131136,23.822352036089143,0
2039,E07000178,1896.1941089248612,25.128599304684457,0
2040,E07000178,2023.1972235579524,26.44595487460657,0
2041,E07000178,2154.2166754129066,27.7747397106358,0
2042,E07000178,2289.103295607043,29.113279674014336,0
2043,E07000178,2427.977543005849,30.461905602372582,0
2044,E07000178,2571.0657034804117,31.82195339101719,0
2045,E07000178,2718.632333372141,33.19376407560347,0
2046,E07000178,2870.480334154916,34.575683916217685,0
2047,E07000178,3026.8791210136187,35.96906448289374,0
2048,E07000178,3187.921644483753,37.37426274258823,0
2049,E07000178,3353.6542204567704,38.79064114764,0
2050,E07000178,3523.8592211580763,40.213567725741086,0
2020,E07000180,110.11210910612135,1.7891665254536946,0
2021,E07000180,149.62905759474415,2.369413253458447,0
2022,E07000180,191.35203072505556,2.9647985600372664,0
2023,E07000180,235.34979843576548,3.5775319874705502,0
2024,E07000180,282.15497938854423,4.214827051902546,0
2025,E07000180,332.4679993544423,4.884901321840232,0
2026,E07000180,383.2830897602198,5.534976498228303,0
2027,E07000180,439.84466152938876,6.2552784961316235,0
2028,E07000180,499.34321235900643,6.996037528057698,0
2029,E07000180,561.0740031579644,7.746488188952512,0
2030,E07000180,623.8461330415521,8.491869542903245,0
2031,E07000180,691.1748267799821,9.269425211582416,0
2032,E07000180,759.6152857991947,10.039403464468734,0
2033,E07000180,830.917953025425,10.824057310880562,0
2034,E07000180,905.5143638300333,11.626644593858344,0
2035,E07000180,983.0098508643505,12.441428085933708,0
2036,E07000180,1063.2075429036277,13.264675586823273,0
2037,E07000180,1146.4596201937038,14.099660023085733,0
2038,E07000180,1232.7221121262655,14.944659549782173,0
2039,E07000180,1321.9291682715584,15.797957654180422,0
2040,E07000180,1414.2698818307763,16.661843261543964,0
2041,E07000180,1509.8658120400414,17.535610843047806,0
2042,E07000180,1608.6950626911357,18.41956052586528,0
2043,E07000180,1710.9467227921987,19.31499820546769,0
2044,E07000180,1816.7763953734102,20.222235660183486,0
2045,E07000180,1926.269386651159,21.14059066806128,0
2046,E07000180,2039.5545413421887,22.071387126084105,0
2047,E07000180,2156.595323912671,23.012955171781883,0
2048,E07000180,2277.628133909211,23.966631307290868,0
2049,E07000180,2402.5568657946496,24.930758525909468,0
2050,E07000180,2531.4962649794415,25.90568644120104,0
2020,E07000179,209.8549941638721,3.3536963083011244,0
2021,E07000179,268.89980100033426,4.227752585072267,0
2022,E07000179,329.2661623755175,5.093597654310457,0
2023,E07000179,391.9070833233418,5.967761437379664,0
2024,E07000179,456.5967522742412,6.8437872762793575,0
2025,E07000179,526.2557865039034,7.764232285082386,0
2026,E07000179,598.7102895954677,8.689667710687615,0
2027,E07000179,677.0132458066519,9.676679303134463,0
2028,E07000179,761.0780786006253,10.715867695734644,0
2029,E07000179,848.8474269812705,11.772848795282101,0
2030,E07000179,938.5537158147863,12.821254182609266,0
2031,E07000179,1038.1300184261627,13.96173152376521,0
2032,E07000179,1139.9541087013095,15.09194499209842,0
2033,E07000179,1246.7807014391556,16.248575701534833,0
2034,E07000179,1359.0006241236852,17.434322151348212,0
2035,E07000179,1476.7580389193754,18.647900682729954,0
2036,E07000179,1599.9825202372576,19.885045947472022,0
2037,E07000179,1728.9222739072657,21.146511389085106,0
2038,E07000179,1864.2609412503161,22.43806973668373,0
2039,E07000179,2005.8178644391337,23.754513511978146,0
2040,E07000179,2153.927169222032,25.097655549721452,0
2041,E07000179,2309.257048284433,26.472329531971155,0
2042,E07000179,2471.4048467567154,27.871390536532047,0
2043,E07000179,2640.9762130061617,29.29871559995894,0
2044,E07000179,2818.3421062394737,30.755204295506488,0
2045,E07000179,3004.295396624316,32.24577932642384,0
2046,E07000179,3198.6230301151936,33.76538713500412,0
2047,E07000179,3401.778123689388,35.314998527806395,0
2048,E07000179,3613.9821845123806,36.89360931748257,0
2049,E07000179,3835.7398157501884,38.50224098165063,0
2050,E07000179,4067.045085750531,40.13794133926844,0
2020,E07000181,103.75946695286166,1.6929543958371767,0
2021,E07000181,137.8705751367038,2.2003726836874478,0
2022,E07000181,173.03329848185012,2.7059530054765872,0
2023,E07000181,209.41024970061153,3.214944805432353,0
2024,E07000181,248.06784289148936,3.744603333242125,0
2025,E07000181,290.07827501822203,4.309189787761007,0
2026,E07000181,332.00061426100456,4.847971464371383,0
2027,E07000181,379.4336583321001,5.45622190608843,0
2028,E07000181,430.68304881602035,6.100221058507074,0
2029,E07000181,484.85829410271253,6.765255428689358,0
2030,E07000181,540.5701247297598,7.430618248093609,0
2031,E07000181,601.9492118162748,8.147609639648742,0
2032,E07000181,665.0916552078702,8.865536789080714,0
2033,E07000181,731.7404677184745,9.606714120600117,0
2034,E07000181,802.0063205532942,10.371463477062825,0
2035,E07000181,875.3793850868765,11.150114304719075,0
2036,E07000181,951.6836389362657,11.939003842668427,0
2037,E07000181,1031.103101934762,12.73947731714204,0
2038,E07000181,1113.8103099234468,13.552888140735803,0
2039,E07000181,1199.6205829807368,14.375598116722102,0
2040,E07000181,1288.7758325115701,15.209977648570387,0
2041,E07000181,1381.4782575185936,16.057405954810946,0
2042,E07000181,1477.6035946582579,16.916271289378628,0
2043,E07000181,1577.2498408327028,17.786971167577974,0
2044,E07000181,1680.5915548072953,18.669912597814132,0
2045,E07000181,1787.931920240475,19.567512319237913,0
2046,E07000181,1899.1060023399496,20.477197045456847,0
2047,E07000181,2013.9495973842804,21.397403714468666,0
2048,E07000181,2132.8034701980914,22.32957974497706,0
2049,E07000181,2255.681099500938,23.274183299254098,0
2050,E07000181,2382.1847290360256,24.22568355271713,0
2020,E07000177,178.82150179618293,2.8453093539675507,0
2021,E07000177,233.9127636317353,3.66040046236337,0
2022,E07000177,288.2779614233732,4.438966618331577,0
2023,E07000177,343.78271467994455,5.21224413076591,0
2024,E07000177,400.65651398610225,5.983473287234347,0
2025,E07000177,462.19172246043945,6.802898426424065,0
2026,E07000177,523.4547389910977,7.587768011978227,0
2027,E07000177,591.086871439551,8.447334707752475,0
2028,E07000177,664.5639463631278,9.364855454519216,0
2029,E07000177,740.415867068933,10.2885915481489,0
2030,E07000177,816.8075855317948,11.19380871929701,0
2031,E07000177,902.2300879859795,12.183777214627497,0
2032,E07000177,988.2038137108029,13.15177187960235,0
2033,E07000177,1077.9306976980197,14.13907224286909,0
2034,E07000177,1171.7907735683439,15.146962602278094,0
2035,E07000177,1269.797180851875,16.17673211256158,0
2036,E07000177,1371.300016477965,17.215674874708114,0
2037,E07000177,1476.5643962987815,18.266090027065786,0
2038,E07000177,1586.2263996065603,19.33428183820915,0
2039,E07000177,1699.6118831054355,20.411559801604483,0
2040,E07000177,1816.7516588213857,21.49723873210968,0
2041,E07000177,1938.263840327254,22.597638864345427,0
2042,E07000177,2062.9732252703134,23.700085952974717,0
2043,E07000177,2191.26106607779,24.807911374928864,0
2044,E07000177,2323.23560092587,25.92245223361948,0
2045,E07000177,2459.7161590771866,27.051051465175107,0
2046,E07000177,2600.099217757128,28.187057946744076,0
2047,E07000177,2744.279532617944,29.328826606903988,0
2048,E07000177,2892.50631478429,30.4777185382207,0
2049,E07000177,3044.8765710636108,31.634101111998973,0
2050,E07000177,3201.3478432657103,32.79634809527012,0
2020,E06000030,266.84594512281365,3.5511923357630906,0
2021,E06000030,341.691255114014,4.3591129683897805,0
2022,E06000030,415.16616134451033,5.129033442105339,0
2023,E06000030,490.61817301960673,5.9012613301260615,0
2024,E06000030,571.5190131797135,6.718110164306722,0
2025,E06000030,660.0606921488288,7.592899552517139,0
2026,E06000030,745.0387692289733,8.37595529833925,0
2027,E06000030,847.4993005157012,9.344609523131084,0
2028,E06000030,958.1249171536801,10.362200790505312,0
2029,E06000030,1075.7389783759718,11.415074233268683,0
2030,E06000030,1198.3522570162422,12.475581682872019,0
2031,E06000030,1333.3096942219909,13.603081801420274,0
2032,E06000030,1474.3933651849966,14.747940216293102,0
2033,E06000030,1624.1464735511709,15.932529657428347,0
2034,E06000030,1782.7473146927423,17.157230097319626,0
2035,E06000030,1948.395595110842,18.395428893783674,0
2036,E06000030,2120.5804352787472,19.638520935550588,0
2037,E06000030,2299.906864379802,20.8929087907338,0
2038,E06000030,2487.2262516016835,22.16900285823658,0
2039,E06000030,2681.993143012234,23.453221522153115,0
2040,E06000030,2884.4297386857124,24.747991309223096,0
2041,E06000030,3095.802278698018,26.062747049401366,0
2042,E06000030,3315.4939079316155,27.3899320396026,0
2043,E06000030,3544.006851861621,28.72999821068555,0
2044,E06000030,3781.334860846642,30.081406297739676,0
2045,E06000030,4028.380690115193,31.450626013740248,0
2046,E06000030,4285.392809050505,32.834136226638606,0
2047,E06000030,4552.450343901472,34.23442513995511,0
2048,E06000030,4829.773127078603,35.647990476944386,0
2049,E06000030,5117.931598331574,37.07833966840349,0
2050,E06000030,5417.11139719126,38.520990044195656,0
2020,E06000042,514.2478040316491,8.320765531960518,0
2021,E06000042,714.1746740672243,11.381548363425992,0
2022,E06000042,921.3359708788976,14.473812214548957,0
2023,E06000042,1139.0232520373684,17.64961195771926,0
2024,E06000042,1367.2222876548785,20.90104991094816,0
2025,E06000042,1607.2332914160543,24.261276963232774,0
2026,E06000042,1858.31522130333,27.65949372728872,0
2027,E06000042,2129.2503373758245,31.282951720327418,0
2028,E06000042,2422.3863446012874,35.12095457358012,0
2029,E06000042,2730.3017063551597,39.06285927127999,0
2030,E06000042,3049.676260881948,43.06107741983726,0
2031,E06000042,3399.4524613608173,47.31707654796023,0
2032,E06000042,3761.1838758133563,51.62938143849098,0
2033,E06000042,4141.445905604816,56.07357549274781,0
2034,E06000042,4541.154378354589,60.65530212818513,0
2035,E06000042,4959.515108519103,65.35026621020091,0
2036,E06000042,5395.833654285732,70.14423551894481,0
2037,E06000042,5850.594282203761,75.03704225200121,0
2038,E06000042,6325.15513423664,80.03858456384222,0
2039,E06000042,6818.585636535487,85.13382814297071,0
2040,E06000042,7331.745633366321,90.32880782769513,0
2041,E06000042,7866.074167568735,95.63462926150271,0
2042,E06000042,8420.230618740228,101.03647058902212,0
2043,E06000042,8995.436997053694,106.54258419359022,0
2044,E06000042,9592.447565406546,112.15629847746806,0
2045,E06000042,10213.66149587433,117.89501968577162,0
2046,E06000042,10857.866379871095,123.7432337752141,0
2047,E06000042,11525.64199641237,129.702508328785,0
2048,E06000042,12217.611710536177,135.77449451751568,0
2049,E06000042,12934.408311923813,141.96192911051622,0
2050,E06000042,13676.038888106184,148.26063653449202,0
2020,E06000055,182.8417444927054,3.302578884120848,0
2021,E06000055,235.06771696194028,4.203253219950312,0
2022,E06000055,287.41831462957816,5.081410637892205,0
2023,E06000055,340.92925443447257,5.960317454941475,0
2024,E06000055,396.220181067627,6.848244796756802,0
2025,E06000055,454.91366079401723,7.773468692422256,0
2026,E06000055,514.1223585063663,8.675270171187393,0
2027,E06000055,578.2931261361655,9.644935361229145,0
2028,E06000055,645.94179893827,10.644755590479065,0
2029,E06000055,716.5055756999063,11.666027489560065,0
2030,E06000055,788.8245631120544,12.688053096879116,0
2031,E06000055,868.4023180418435,13.787139965922222,0
2032,E06000055,949.6047010001103,14.881601274798811,0
2033,E06000055,1034.5021376800923,16.00275593808516,0
2034,E06000055,1123.195621212044,17.150928721016072,0
2035,E06000055,1215.1828772932786,18.314450356075923,0
2036,E06000055,1310.6153535197582,19.49365766204089,0
2037,E06000055,1409.4054276695779,20.686893665525716,0
2038,E06000055,1511.9195962662943,21.89750772508971,0
2039,E06000055,1617.8716496194875,23.120855657956255,0
2040,E06000055,1727.3690113684843,24.35629986940434,0
2041,E06000055,1840.8236041505324,25.609209484888694,0
2042,E06000055,1957.7442239669972,26.872960484948493,0
2043,E06000055,2078.359242563143,28.14993584296525,0
2044,E06000055,2202.9581339518627,29.44152566583159,0
2045,E06000055,2331.942816051249,30.752127337594217,0
2046,E06000055,2465.01341764517,32.07714566613612,0
2047,E06000055,2602.382885999973,33.41799303296392,0
2048,E06000055,2744.1113498518816,34.77508954616761,0
2049,E06000055,2890.2954565194577,36.147863196622865,0
2050,E06000055,3040.93485848826,37.5367500175049,0
2020,E07000004,232.16141100343248,3.764905155028032,0
2021,E07000004,303.28835085469564,4.8596478260664355,0
2022,E07000004,375.99187152109243,5.948460789225692,0
2023,E07000004,451.97563785502825,7.058705926212724,0
2024,E07000004,532.114340030701,8.20275194131014,0
2025,E07000004,617.6280591688383,9.398974499406421,0
2026,E07000004,702.5469402692152,10.537756366951456,0
2027,E07000004,794.9401414809954,11.760487555901037,0
2028,E07000004,892.870352779325,13.025565470715506,0
2029,E07000004,994.5473204718455,14.306395058478842,0
2030,E07000004,1098.1179325657513,15.577388962206768,0
2031,E07000004,1209.1983815064987,16.897967677413163,0
2032,E07000004,1325.2165620837823,18.2515597120057,0
2033,E07000004,1447.1860143364274,19.64660174958364,0
2034,E07000004,1575.470620859879,21.085538816212434,0
2035,E07000004,1709.1860863846086,22.548824450750104,0
2036,E07000004,1848.1614328459118,24.032920878803935,0
2037,E07000004,1992.538983356456,25.537299190396567,0
2038,E07000004,2142.764390549836,27.065439521422235,0
2039,E07000004,2298.513674761947,28.611831238976748,0
2040,E07000004,2460.072307673251,30.17897313064522,0
2041,E07000004,2627.657055789171,31.76737359783462,0
2042,E07000004,2801.025370455256,33.374550853239754,0
2043,E07000004,2980.2974046904465,35.000033122532784,0
2044,E07000004,3165.846143475932,36.64635885036908,0
2045,E07000004,3358.0931246838827,38.31507691080428,0
2046,E07000004,3556.817401084394,40.00374682221829,0
2047,E07000004,3762.3697074971424,41.713938966846186,0
2048,E07000004,3974.740333205522,43.44423481501617,0
2049,E07000004,4194.262182173734,45.19622715419828,0
2050,E07000004,4420.952672604231,46.96852032296948,0
2020,E06000032,173.7322603814364,2.8703097675412295,0
2021,E06000032,222.39201814112675,3.5951141440094716,0
2022,E06000032,269.28888882375486,4.280000985578923,0
2023,E06000032,315.8545205687233,4.947166582412919,0
2024,E06000032,361.2214685208437,5.571809620688981,0
2025,E06000032,410.403990759939,6.236131211848985,0
2026,E06000032,450.03353255998536,6.7353349222060075,0
2027,E06000032,498.4669670620524,7.341626802913154,0
2028,E06000032,552.8635619706365,8.02921542029793,0
2029,E06000032,608.3765211912159,8.713311886567212,0
2030,E06000032,661.5874994014212,9.339129890886596,0
2031,E06000032,722.6204066651417,10.073885730840061,0
2032,E06000032,783.2923870577551,10.781798344273,0
2033,E06000032,847.1915589132741,11.518089341524202,0
